Reflectance,Orange_placemat_d,Pink_placemat_d,Blue_placemat_d,Yellow_placemat_d,Green_foam_d,Garden_net_d,Orange_PP_rope_unrolled_d,Blue_PP_rope_roll_d,Blue_PP_rope_unrolled_d,White_PP_rope_roll_d,White_PP_rope_unrolled_d,White_polyester_rope_roll_d,White_cup_straight_d,White_cup_flat_d,Bottle_filled_2_d,Bottle_empty_2_d,Bottle_empty_1_d,Bottle_filled_1_d,bag_white_transparant_2_d,Bag_white_transparant_2_wrinkeled_d,bag_white_transparant_1_d,Bag_white_transparant_1_wrinkeled_d,waste_rope_d,waste_blue_plastic_bag_d,grey cloth_d,waste_green_rope_d,Orange_tube_d,Wood1_d,Wood2_d,Wood3_d,Wood4_d,Transparant_foil_d,thin_isolating_foil_d,EPS_d,drink_container_d,pellets_d,Blue_PP_rope_roll_d_1,Orange_PP_rope_roll_d,White_PP_rope_roll_d_1,White_polyester_rope_roll_d_1,Orange_placemat_d_1,Blue_PP_rope_frame_d,Orange_PP_rope_frame_d,White_PP_rope_frame_d,White_polyester_rope_unrolled_d,Bottle_empty_3_d,Bottle_empty_4_d,Orange_placemat_d_0_0,Orange_placemat_s_1_0,Orange_placemat_s_2_0,Orange_placemat_s_3_0,Orange_placemat_s_4_0,Orange_placemat_s_8_0,Orange_placemat_s_13_0,Orange_placemat_s_18_0,Orange_placemat_w,Blue_placemat_d_0_0,Blue_placemat_s_1_0,Blue_placemat_s_2_0,Blue_placemat_s_3_0,Blue_placemat_s_4_0,Blue_placemat_s_8_0,Blue_placemat_s_13_0,Blue_placemat_s_18_0,Blue_placemat_w,water_tank,Yellow_placemat_d_0_0,Yellow_placemat_s_1_0,Yellow_placemat_s_2_0,Yellow_placemat_s_3_0,Yellow_placemat_s_4_0,Yellow_placemat_s_8_0,Yellow_placemat_s_13_0,Yellow_placemat_s_18_0,Yellow_placemat_w,water_tank_0,Orange_PP_rope_frame_d_0_0,Orange_PP_rope_frame_s_2.5_0,Orange_PP_rope_frame_s_5_0,Orange_PP_rope_frame_s_9_0,Orange_PP_rope_frame_s_12_0,Orange_PP_rope_frame_s_16_0,Orange_PP_rope_frame_s_32_0,Orange_PP_rope_frame_w,White_PP_rope_frame_d_0_0,White_PP_rope_frame_s_2.5_0,White_PP_rope_frame_s_5_0,White_PP_rope_frame_s_9_0,White_PP_rope_frame_s_12_0,White_PP_rope_frame_s_16_0,White_PP_rope_frame_s_32_0,White_PP_rope_frame_w,Blue_PP_rope_frame_d_0_0,Blue_PP_rope_frame_s_2.5_0,Blue_PP_rope_frame_s_5_0,Blue_PP_rope_frame_s_9_0,Blue_PP_rope_frame_s_12_0,Blue_PP_rope_frame_s_16_0,Blue_PP_rope_frame_s_32_0,Blue_PP_rope_frame_w,Orange_placemat_d_0_0_1,Orange_placemat_s_2.5_0,Orange_placemat_s_5_0,Orange_placemat_s_9_0,Orange_placemat_s_12_0,Orange_placemat_s_16_0,Orange_placemat_s_32_0,Orange_placemat_w_1,water_tank_1,Blue_PP_rope_frame_d_0_75,Blue_PP_rope_frame_s_2.5_75,Blue_PP_rope_frame_s_5_75,Blue_PP_rope_frame_s_9_75,Blue_PP_rope_frame_s_12_75,Blue_PP_rope_frame_s_16_75,Blue_PP_rope_frame_s_32_75,White_PP_rope_frame_d_0_75,White_PP_rope_frame_s_2.5_75,White_PP_rope_frame_s_5_75,White_PP_rope_frame_s_9_75,White_PP_rope_frame_s_12_75,White_PP_rope_frame_s_16_75,White_PP_rope_frame_s_32_75,water_tank_75,Orange_placemat_d_0_75,Orange_placemat_s_2.5_75,Orange_placemat_s_5_75,Orange_placemat_s_9_75,Orange_placemat_s_12_75,Orange_placemat_s_16_75,Orange_placemat_s_32_75,water_tank_75_1,water_tank_321,Blue_PP_rope_frame_d_0_321,Blue_PP_rope_frame_s_2.5_321,Blue_PP_rope_frame_s_5_321,Blue_PP_rope_frame_s_9_321,Blue_PP_rope_frame_s_12_321,Blue_PP_rope_frame_s_16_321,Blue_PP_rope_frame_s_32_321,water_tank_321_1,White_PP_rope_frame_d_0_321,White_PP_rope_frame_s_2.5_321,White_PP_rope_frame_s_5_321,White_PP_rope_frame_s_9_321,White_PP_rope_frame_s_12_321,White_PP_rope_frame_s_16_321,White_PP_rope_frame_s_32_321,water_tank_321_2,Orange_placemat_d_0_321,Orange_placemat_s_2.5_321,Orange_placemat_s_5_321,Orange_placemat_s_9_321,Orange_placemat_s_12_321,Orange_placemat_s_16_321,Orange_placemat_s_32_321,water_tank_321_3,plastic_bag_frame_w,bottles_frame_w,black_plastic_frame_w
350,0.0744,0.0855,0.097,0.1426,0.1843,0.0766,0.105,0.1334,0.0307,1.0342,0.2291,0.2686,0.1189,0.2574,1.3437,0.1396,0.2132,0.0817,0.1624,0.1155,0.1588,0.4232,0.1556,0.0745,0.0397,0.0102,0.0327,0.0495999999999999,0.0611,0.0389,0.0665999999999999,0.082,0.2756,0.1554,0.0963,0.0843,0.2051,0.1612,0.5602,0.3042,0.0991,0.1063,0.1594,0.3621,0.3253,0.3656,0.3743,0.0939,0.0286,0.0427,0.0226,0.0246,0.0284,0.0318,0.0303,0.0175,0.0843,0.0295,0.0587,0.063,0.0397,0.0273,0.0376,0.0342,0.0833,-0.0126,0.093,0.0406,0.0511,0.0342,0.022,0.0147,0.0056,0.025,0.0645,0.0487,0.1782,0.1373,0.1127,0.0799,0.0836,0.0644,0.0552,0.1169,0.3541,0.2903,0.2415,0.2065,0.1609,0.1422,0.0808,0.3124,0.0703,0.0846,0.0734,0.0706,0.0573,0.0598,0.0469,0.0932,0.116,0.043,0.0388,0.0397,0.0448,0.0123,0.0098,0.08,0.034,0.0703,0.067,0.0602,0.0303,0.0285,0.0291,0.0301,0.3541,0.1903,0.1181,0.0707,0.0426,0.0211,0.0295,0.0223,0.116,0.0198,0.034,0.0158,0.0187,0.0005,0.0244,-0.0006,0.0228,0.0703,0.0503,0.024,0.0274,0.0269,0.0198,0.0271,0.0306,0.3541,0.1124,0.0316,-0.0014,0.0259,0.0334,0.0195,0.0186,0.116,0.0202,0.0191,0.0183,0.0281,0.0216,0.0068,-0.008,0.2327,0.16,-0.006
351,0.0767,0.0858,0.1006,0.1491,0.1815,0.0783,0.1071,0.1443,0.0396,1.0502,0.2392,0.2772,0.1229,0.2614,1.372,0.1446,0.2144,0.0833,0.1526,0.1166,0.1589,0.4238,0.1599,0.0775,0.0398,0.0167,0.0343,0.0472999999999999,0.0586,0.0398,0.0606999999999999,0.0819,0.275,0.1491,0.0923,0.0848,0.2019,0.1574,0.5601,0.3027,0.1001,0.1073,0.1563,0.369,0.3255,0.3713,0.3861,0.1055,0.0247,0.0538,0.0337,0.0241,0.0339,0.0393,0.0283,0.0246,0.0827,0.0358,0.0504,0.0576,0.0511,0.0443,0.0229,0.0397,0.0773,-0.0159,0.0871,0.0291,0.0433,0.023,0.0245,0.0327,0.0111,0.0085,0.0764,0.055,0.176,0.1249,0.0935,0.0941,0.0797,0.0673,0.0445,0.1119,0.3665,0.3051,0.26,0.213,0.1746,0.1564,0.0947,0.3264,0.0759000000000001,0.0894,0.0921,0.0901,0.0615,0.0613,0.0524,0.0871,0.1141,0.0398,0.0495,0.0325,0.0393,0.0169,0.005,0.0794,0.0257,0.0759000000000001,0.0832,0.0537,0.042,0.0361,0.0347,0.0219,0.3665,0.193,0.1238,0.0784,0.0427,0.031,0.0273,0.029,0.1141,0.0173,0.0273,0.007,0.0128,0.0069,0.0274,0.0019,0.0195,0.0759000000000001,0.042,0.0385,0.0162,0.032,0.0217,0.0228,0.0253,0.3665,0.1037,0.044,0.0211,0.0165,0.0291,0.0305,0.0166,0.1141,0.03,0.0163,0.0128,0.03,0.0168,0.0088,0.0082,0.2449,0.1609,-0.0028
352,0.0754,0.0836,0.1006,0.1488,0.179,0.0767,0.1065,0.149,0.039,1.0533,0.2402,0.2814,0.1215,0.2622,1.3796,0.146,0.2134,0.0845,0.1481,0.1174,0.1595,0.4221,0.1608,0.0778,0.039,0.0167,0.0325,0.0466999999999999,0.0557,0.0378,0.0549999999999999,0.0795,0.2713,0.1457,0.0859,0.0827,0.2009,0.1538,0.5571,0.304,0.1018,0.1031,0.1517,0.3697,0.3161,0.3668,0.3765,0.091,0.023,0.0541,0.0286,0.0236,0.0322,0.0298,0.0136,0.0366,0.0803,0.0322,0.0377,0.0479,0.0506,0.0466,0.02,0.0244,0.0703,-0.0204,0.0738,0.0324,0.035,0.0223,0.0219,0.0416,0.0206,0.0036,0.0771,0.0496,0.1762,0.1215,0.0906,0.0919,0.0731,0.0763,0.0324,0.1023,0.3709,0.3033,0.2681,0.2019,0.1892,0.1629,0.0981,0.3395,0.0828000000000001,0.0918,0.089,0.0878,0.0598,0.0562,0.0445,0.0839,0.1075,0.0423,0.0385,0.0258,0.0252,0.0221,0.0102,0.0773,0.0125,0.0828000000000001,0.0806,0.0481,0.0339,0.0303,0.0237,0.0147,0.3709,0.1975,0.1275,0.0686,0.0386,0.0281,0.0192,0.0252,0.1075,0.0219,0.0204,0.0029,0.0112,0.0112,0.0183,0.0013,0.0224,0.0828000000000001,0.0341,0.0388,0.0086,0.0281,0.0202,0.0209,0.021,0.3709,0.0943,0.0442,0.0244,0.0179,0.0137,0.0287,0.0106,0.1075,0.0332,0.0093,0.0125,0.0192,0.015,0.0075,0.0108,0.2407,0.144,-0.0068
353,0.0743,0.0821,0.0985,0.1437,0.178,0.0732,0.1048,0.1465,0.0333,1.0425,0.2356,0.2823,0.1175,0.2604,1.3625,0.1455,0.2137,0.0859,0.1526,0.1166,0.1607,0.4193,0.1568,0.0771,0.0401,0.013,0.0303,0.0481999999999999,0.0559,0.0369,0.0549999999999999,0.0764,0.2701,0.1492,0.0835,0.0814,0.2035,0.1534,0.5584,0.3077,0.1047,0.1001,0.1497,0.3702,0.3105,0.3618,0.3633,0.0746,0.0316,0.0489,0.025,0.0354,0.0273,0.022,0.0139,0.0489,0.0847,0.0294,0.0376,0.0488,0.0453,0.0387,0.0313,0.0119,0.0728,-0.0182,0.0719,0.049,0.0379,0.0386,0.0232,0.0392,0.033,0.0156,0.0759,0.0399,0.1762,0.1259,0.1035,0.0809,0.0752,0.0865,0.0353,0.0968000000000001,0.3659,0.2892,0.2595,0.1928,0.1951,0.1566,0.0917,0.342,0.0863,0.0904,0.0715,0.0683,0.0601,0.0538,0.0376,0.0875,0.1048,0.0506,0.0246,0.0293,0.018,0.0272,0.0214,0.0781,0.0125,0.0863,0.0697,0.0531,0.0207,0.0221,0.0104,0.0166,0.3659,0.2046,0.1283,0.055,0.0372,0.0199,0.0141,0.0166,0.1048,0.0254,0.0213,0.011,0.0161,0.0159,0.011,0.0063,0.0268,0.0863,0.0369,0.0295,0.0102,0.0236,0.0198,0.0231,0.0248,0.3659,0.099,0.0344,0.0108,0.0306,0.0075,0.0239,0.0092,0.1048,0.0319,0.0104,0.0211,0.0099,0.0186,0.0078,0.0034,0.2337,0.136,-0.0061
354,0.0796,0.0838,0.1023,0.1493,0.1783,0.0735,0.1048,0.1483,0.0412,1.0417,0.2434,0.2875,0.123,0.2619,1.3606,0.1489,0.2186,0.0868,0.1549,0.1158,0.1619,0.42,0.1535,0.0792,0.0445,0.0146,0.0337,0.0473999999999999,0.0589,0.0398,0.0596999999999999,0.0771,0.2756,0.1548,0.0891,0.0872,0.2048,0.1579,0.5694,0.3097,0.1066,0.1071,0.1571,0.3813,0.3329,0.3631,0.385,0.1064,0.0453,0.0552,0.049,0.0548,0.0377,0.0364,0.0444,0.0625,0.1013,0.0496,0.0519,0.0704,0.0629,0.0517,0.0321,0.0361,0.0823,-0.0004,0.0993,0.0486,0.0487,0.0567,0.0401,0.0465,0.0407,0.027,0.0884,0.0383,0.1793,0.1198,0.0972,0.0815,0.086,0.0774,0.0542,0.1021,0.3591,0.2909,0.2607,0.2122,0.187,0.1507,0.102,0.3317,0.0836,0.0912,0.086,0.0717,0.0697,0.0676,0.0525,0.0886,0.1105,0.0501,0.0434,0.05,0.0309,0.0329,0.0221,0.0805,0.0273,0.0836,0.0809,0.0653,0.0427,0.0354,0.0229,0.0127,0.3591,0.2085,0.12,0.0672,0.0369,0.0292,0.0237,0.0189,0.1105,0.0176,0.0347,0.0346,0.0139,0.0318,0.0282,0.0208,0.0139,0.0836,0.0456,0.0341,0.0104,0.0389,0.0269,0.0141,0.0353,0.3591,0.1116,0.0481,0.0229,0.028,0.0222,0.0377,0.0235,0.1105,0.0429,0.0357,0.0328,0.0205,0.0199,0.0103,0.0199,0.244,0.1602,0.0159
355,0.0782,0.0863,0.1056,0.1507,0.1841,0.077,0.1038,0.1495,0.0431,1.0444,0.2426,0.295,0.1262,0.2615,1.3628,0.1518,0.2196,0.0861,0.1569,0.1179,0.1622,0.4216,0.1583,0.0818,0.0434,0.0147,0.0324,0.0496999999999999,0.0617,0.0378,0.0613999999999999,0.0854,0.281,0.1551,0.0925,0.0864,0.2069,0.1552,0.5798,0.3211,0.1047,0.1098,0.1569,0.385,0.3479,0.3725,0.3906,0.1122,0.049,0.0448,0.0597,0.0406,0.0462,0.037,0.0438,0.078,0.0979,0.0543,0.0642,0.0619,0.0667,0.0557,0.0416,0.0405,0.0847,0.0015,0.1008,0.0697,0.0507,0.0568,0.0329,0.0456,0.0424,0.0363,0.0804,0.039,0.1827,0.1221,0.0967,0.0886,0.0848,0.0839,0.0569,0.1124,0.3723,0.3031,0.2702,0.2228,0.1922,0.1619,0.1076,0.3347,0.0801,0.1018,0.0897,0.0732,0.0696,0.0745,0.0598,0.0949,0.1131,0.0526,0.0504,0.0496,0.0338,0.0312,0.0257,0.0836,0.0352,0.0801,0.0863,0.0756,0.0453,0.0465,0.0343,0.0271,0.3723,0.2085,0.134,0.0685,0.0488,0.0337,0.0302,0.0283,0.1131,0.029,0.0291,0.0362,0.0179,0.0298,0.0201,0.0198,0.026,0.0801,0.054,0.0347,0.0277,0.0412,0.0337,0.0229,0.0312,0.3723,0.1069,0.0616,0.0255,0.022,0.0241,0.0277,0.0224,0.1131,0.0371,0.0338,0.0332,0.0264,0.0249,0.0117,0.0241,0.2373,0.1682,0.0345
356,0.0772,0.0893,0.1071,0.1517,0.186,0.0789,0.1043,0.1512,0.0423,1.0484,0.2425,0.3026,0.1269,0.26,1.3668,0.1545,0.221,0.0889,0.1562,0.1195,0.1621,0.4237,0.1632,0.0816,0.042,0.0141,0.0318,0.0511999999999999,0.0623,0.0373,0.0605999999999999,0.0879,0.2793,0.1535,0.0941,0.0853,0.2053,0.154,0.5873,0.3298,0.1029,0.1076,0.1529,0.3875,0.3478,0.372,0.3839,0.1045,0.0496,0.0513,0.0564,0.0384,0.0533,0.0387,0.0405,0.0739,0.0955,0.047,0.0744,0.0538,0.0655,0.0527,0.0466,0.0416,0.0874,0.0075,0.0956,0.0777,0.0481,0.0524,0.0341,0.0457,0.037,0.0381,0.0803,0.0368,0.1749,0.1238,0.0977,0.0889,0.0854,0.0803,0.0566,0.1152,0.3864,0.3128,0.2825,0.2286,0.2003,0.1736,0.1089,0.35,0.0834,0.1062,0.084,0.0807,0.0704,0.0722,0.0618,0.1008,0.1117,0.0557,0.0541,0.044,0.0328,0.0306,0.0296,0.084,0.0353,0.0834,0.0917,0.0757,0.0499,0.0454,0.0349,0.0328,0.3864,0.2091,0.1427,0.0724,0.0591,0.0352,0.0319,0.0316,0.1117,0.0414,0.0308,0.0325,0.0227,0.0283,0.0184,0.0167,0.0258,0.0834,0.0569,0.037,0.0377,0.0362,0.0382,0.0335,0.0278,0.3864,0.1072,0.0607,0.0305,0.0232,0.0221,0.0246,0.0206,0.1117,0.0338,0.0282,0.0312,0.0273,0.0258,0.0186,0.0266,0.2323,0.1638,0.0333
357,0.0783,0.0907,0.1058,0.153,0.1814,0.0774,0.1052,0.1535,0.0412,1.0504,0.245,0.3088,0.1259,0.2586,1.3697,0.1556,0.2244,0.0929,0.1533,0.1192,0.162,0.4245,0.163,0.0784,0.0423,0.0134,0.0328,0.0494999999999999,0.0604,0.0379,0.0585999999999999,0.0823,0.2726,0.1523,0.0932,0.087,0.2017,0.1561,0.5922,0.3311,0.1027,0.1042,0.1485,0.3915,0.338,0.3625,0.3759,0.0973,0.0508,0.0702,0.045,0.0526,0.0566,0.0414,0.0426,0.0544,0.0972,0.0383,0.0754,0.0574,0.0601,0.0498,0.041,0.0435,0.0882,0.014,0.0951,0.0598,0.0453,0.049,0.0493,0.0494,0.0332,0.035,0.0879,0.0322,0.1594,0.1192,0.097,0.0806,0.0884,0.0626,0.0571,0.107,0.3886,0.3156,0.2881,0.2318,0.2021,0.1739,0.1082,0.3634,0.0904,0.0985,0.0757,0.0892,0.074,0.0644,0.0617,0.0995,0.1102,0.0542,0.0536,0.0411,0.0326,0.0326,0.0292,0.0817,0.0287,0.0904,0.097,0.0676,0.0579,0.0348,0.0271,0.0245,0.3886,0.2114,0.1367,0.0779,0.0569,0.0348,0.0293,0.0262,0.1102,0.042,0.0406,0.0307,0.0242,0.0301,0.0288,0.0164,0.0094,0.0904,0.0522,0.0414,0.0304,0.0288,0.0359,0.0315,0.0282,0.3886,0.116,0.0491,0.0375,0.0277,0.0214,0.0343,0.0233,0.1102,0.0344,0.0282,0.0295,0.025,0.0215,0.0252,0.028,0.2334,0.1565,0.0165
358,0.075,0.0865,0.1013,0.1497,0.1761,0.0747,0.1021,0.1547,0.0388,1.0463,0.2414,0.3127,0.1236,0.2586,1.3686,0.1523,0.227,0.089,0.1528,0.1185,0.1616,0.4208,0.1592,0.076,0.0411,0.0119,0.0294,0.0459999999999999,0.0568,0.0314,0.0557999999999999,0.0797,0.272,0.1511,0.0866,0.0879,0.2039,0.1535,0.5965,0.3307,0.1025,0.1046,0.1435,0.3925,0.3345,0.3662,0.3775,0.094,0.0499,0.0555,0.0312,0.0392,0.0487,0.0254,0.0277,0.0478,0.0829,0.0383,0.0524,0.0549,0.0378,0.0533,0.0287,0.0286,0.0729,-0.0101,0.0926,0.035,0.0437,0.038,0.0497,0.049,0.0468,0.0377,0.0685,0.0313,0.1572,0.1102,0.0962,0.0747,0.0768,0.058,0.0452,0.0951000000000001,0.3817,0.32,0.2771,0.2299,0.1972,0.1642,0.1083,0.3528,0.0862000000000001,0.0894,0.0723,0.0772,0.0689,0.0593,0.0603,0.0867,0.115,0.0439,0.0325,0.0311,0.0306,0.0289,0.0213,0.0803,0.0154,0.0862000000000001,0.0903,0.0637,0.0399,0.0282,0.0242,0.0268,0.3817,0.2123,0.1359,0.0641,0.0402,0.0296,0.0235,0.0226,0.115,0.0288,0.0265,0.0218,0.0211,0.017,0.0215,0.0107,0.0165,0.0862000000000001,0.0408,0.0394,0.0158,0.0184,0.0192,0.0112,0.0193,0.3817,0.1111,0.0473,0.0263,0.0166,0.0186,0.0281,0.0196,0.115,0.0168,0.0196,0.0216,0.0208,0.0199,0.0118,0.0133,0.2233,0.1532,0.0065
359,0.0729,0.0885,0.1017,0.1497,0.1757,0.076,0.0994999999999999,0.1578,0.0407,1.0522,0.2446,0.321,0.123,0.2625,1.374,0.1529,0.2274,0.0875,0.1551,0.1169,0.1604,0.4207,0.1598,0.0768,0.0414,0.0121,0.0295,0.0442999999999999,0.0553,0.033,0.0551999999999999,0.0789,0.274,0.154,0.0876,0.0859,0.2039,0.1498,0.6049,0.3368,0.103,0.1067,0.1439,0.3995,0.3486,0.3655,0.3781,0.093,0.0377,0.0345,0.034,0.0338,0.048,0.0279,0.0234,0.0489,0.0938,0.0359,0.0516,0.0556,0.041,0.0491,0.0316,0.0319,0.0718,-0.013,0.1017,0.046,0.0414,0.0361,0.0329,0.0387,0.0423,0.0309,0.078,0.0274,0.1668,0.1114,0.0916,0.0729,0.0694,0.0586,0.0349,0.0993000000000001,0.3911,0.3267,0.2851,0.2305,0.2027,0.1674,0.1067,0.3552,0.0757,0.0937,0.0756,0.0788,0.0591,0.0614,0.0511,0.0824,0.1105,0.049,0.0385,0.0226,0.0309,0.0231,0.016,0.0791,0.0134,0.0757,0.0824,0.0629,0.0385,0.0222,0.0221,0.0261,0.3911,0.2046,0.1347,0.0674,0.0406,0.0279,0.0181,0.0239,0.1105,0.0275,0.0236,0.0234,0.0231,0.0172,0.02,0.0086,0.0214,0.0757,0.0408,0.0303,0.0186,0.0139,0.0219,0.0126,0.0187,0.3911,0.1099,0.0441,0.0205,0.0162,0.0166,0.0211,0.0201,0.1105,0.0168,0.0204,0.0196,0.0174,0.017,0.0025,0.008,0.2229,0.1581,0.0097
